nomor;provinsi;kabupaten;nama_perusahaan;status;negara;tahun;triwulan;alamat_perusahaan;email;referensi_izin;kode;keterangan;nama_sektor;nilai_investasi_dalam_rupiah;nilai_investasi_dalam_dollar;jumlah_tenaga_kerja_indonesia
1;Jawa Timur;Probolinggo;ANUGERAH BERJAYA KRAKSAAN;PMDN;Indonesia;2022;3;Dusun Gilin;;9120109451112;46;Perdagangan besar, bukan mobil dan sepeda motor;Perdagangan dan Reparasi;0;0;6
2;Jawa Timur;Probolinggo;ANUGERAH NUSANTARA KRAKSAAN;PMDN;Indonesia;2022;2;dusun landangan;ratna.pajakdiva06@yahoo.co.id;9120105491621;3;Perikanan;Perikanan;0;0;0
3;Jawa Timur;Probolinggo;BAYU PUTRA;PMDN;Indonesia;2022;3;JL. Yos Sudarso No.40 Blok Kaplingan;bagaswahana@ymail.com;9120003340458;42;Konstruksi bangunan sipil;Konstruksi;3013000000;209964;0
4;Jawa Timur;Probolinggo;BAYU PUTRA;PMDN;Indonesia;2022;3;JL. Yos Sudarso No.40 Blok Kaplingan;bagaswahana@ymail.com;9120003340458;47;Perdagangan eceran, bukan mobil dan motor;Perdagangan dan Reparasi;0;0;0
5;Jawa Timur;Probolinggo;CORDENFI TRIDAYA ENERGI;PMDN;Indonesia;2022;2;JALAN SURABAYA SITUBONDO KM 130,5;cordenfi.tridayaenergi@gmail.com;9120204471461;46;Perdagangan besar, bukan mobil dan sepeda motor;Perdagangan dan Reparasi;0;0;0
6;Jawa Timur;Probolinggo;DJARUM;PMDN;Indonesia;2022;3;JL. A. YANI NO. 28;Wahyu.Wardhana@djarum.com;8120219062361;52;Pergudangan dan aktivitas penunjang angkutan;Transportasi, Gudang dan Telekomunikasi;0;0;0
7;Jawa Timur;Probolinggo;DJARUM;PMDN;Indonesia;2022;4;JL. A. YANI NO. 28;Wahyu.Wardhana@djarum.com;8120219062361;52;Pergudangan dan aktivitas penunjang angkutan;Transportasi, Gudang dan Telekomunikasi;47900000;3338;0
8;Jawa Timur;Probolinggo;EAST HOPE AGRICULTURE SURABAYA;PMA;Singapura;2022;1;KAWASAN NGORO INDUSTRI PERSADA, BLOK U-2;hrd.easthope@gmail.com;111/1/IU/PMA/2017;1;Pertanian tanaman, peternakan, perburuan dan kegiatan YBDI;Tanaman Pangan, Perkebunan, dan Peternakan;0;0;0
9;Jawa Timur;Probolinggo;EAST HOPE AGRICULTURE SURABAYA;PMA;Singapura;2022;2;KAWASAN NGORO INDUSTRI PERSADA, BLOK U-2;nunuksagi@gmail.com;8120006872072;1;Pertanian tanaman, peternakan, perburuan dan kegiatan YBDI;Tanaman Pangan, Perkebunan, dan Peternakan;0;0;0
10;Jawa Timur;Probolinggo;EAST HOPE AGRICULTURE SURABAYA;PMA;Singapura;2022;4;KAWASAN NGORO INDUSTRI PERSADA, BLOK U-2;hrd.easthope@gmail.com;8120006872072;1;Pertanian tanaman, peternakan, perburuan dan kegiatan YBDI;Tanaman Pangan, Perkebunan, dan Peternakan;0;0;0
11;Jawa Timur;Probolinggo;FAJAR UNGGUL KARUNIA;PMA;R.R. Tiongkok;2022;1;Jalan Sukapura KM 8;karuniafuk888@gmail.com;9120004672552;16;Industri kayu, barang dari kayu dan gabus (tidak termasuk furnitur) dan barang anyaman dari bambu, rotan dan sejenisnya;Industri Kayu;0;0;0
12;Jawa Timur;Probolinggo;FAJAR UNGGUL KARUNIA;PMA;R.R. Tiongkok;2022;2;Jalan Sukapura KM.8;karuniafuk888@gmail.com;9120004672552;16;Industri kayu, barang dari kayu dan gabus (tidak termasuk furnitur) dan barang anyaman dari bambu, rotan dan sejenisnya;Industri Kayu;10944744097;762700;0
13;Jawa Timur;Probolinggo;FAJAR UNGGUL KARUNIA;PMA;R.R. Tiongkok;2022;3;Jalan Sukapura KM.8;karuniafuk888@gmail.com;9120004672552;16;Industri kayu, barang dari kayu dan gabus (tidak termasuk furnitur) dan barang anyaman dari bambu, rotan dan sejenisnya;Industri Kayu;0;0;0
